node_id,smiles
0,[C]
1,CCO
2,C=O
3,[Al]
4,[Fe]
5,[K+]
6,O=NO
7,[Cu]
8,[Se]
9,NCCS
10,CCCl
11,[Zn]
12,[Li+]
13,[N]=O
14,[Fe+3]
15,O=[Zn]
16,CS(C)=O
17,[131I-]
18,NC(=O)NO
19,CC(=O)NO
20,OCC(O)CO
21,C1CNCCN1
22,OCC(S)CS
23,NCC(=O)O
24,O=[Ti]=O
25,[I-].[K+]
26,Nc1ccncc1
27,CCCCCON=O
28,NCCNCCNCCN
29,[Cl-].[K+]
30,N#[N+][O-]
31,O=C(O)CCCO
32,FCC(F)(F)F
33,OCc1ccccc1
34,Cl[223Ra]Cl
35,[Cl-].[Na+]
36,ClC=C(Cl)Cl
37,CC(O)C(=O)O
38,O=S(O)(O)=S
39,Cc1cn[nH]c1
40,NCCCCCC(=O)O
41,CNCCc1ccccn1
42,NC(CO)(CO)CO
43,NNCCc1ccccc1
44,[Cl-].[NH4+]
45,[Mg+2].[O-2]
46,CN(CCCl)CCCl
47,COc1ccc(O)cc1
48,NCCc1c[nH]cn1
49,O=[As]O[As]=O
50,Cn1cc[nH]c1=S
51,NC(=O)c1cnccn1
52,C[N+](C)(C)CCO
53,CC(N)Cc1ccccc1
54,NC(=O)c1cccnc1
55,O=C(O)c1ccccc1
56,C=CCN.ClCC1CO1
57,O=C(O)c1cccnc1
58,NC1CC1c1ccccc1
59,N[C@@H]1CONC1=O
60,NC(=O)c1ccccc1O
61,C=CC(N)CCC(=O)O
62,FC(F)(F)C(Cl)Br
63,NCC(=O)CCC(=O)O
64,O=C(O)P(=O)(O)O
65,CNC(C)CCC=C(C)C
66,CCCC(CCC)C(=O)O
67,O=C(O)c1ccccc1O
68,CC1OC(C)OC(C)O1
69,O=C([O-])O.[K+]
70,NNC(=O)c1ccncc1
71,O=C(O)Cc1ccccc1
72,C#CC(O)(C=CCl)CC
73,COC(=O)CCC(=O)CN
74,NNc1nncc2ccccc12
75,OC(O)C(Cl)(Cl)Cl
76,COC(=O)c1ccccc1O
77,COC(F)(F)C(Cl)Cl
78,N=C(O)CN1CCCC1=O
79,O=C([O-])O.[Na+]
80,Cc1ccccc1OCC(O)CO
81,CN(C)C(=N)NC(=N)N
82,NCCCNCCSP(=O)(O)O
83,CC(C)(N)Cc1ccccc1
84,CC1NCCOC1c1ccccc1
85,O=C(O)CCCc1ccccc1
86,CC(N)Cc1ccc(O)cc1
87,C#CCN(C)Cc1ccccc1
88,Nc1[nH]c(=O)ncc1F
89,OB1OCc2cc(F)ccc21
90,O=Cc1ccc(O)c(O)c1
91,Cc1cc(O)cc(C)c1Cl
92,NCCc1ccc(O)c(O)c1
93,Cc1c(O)c(=O)ccn1C
94,CSCC[C@H](N)C(=O)O
95,CC(=O)Nc1ccc(O)cc1
96,Cc1ncc(CO)c(CO)c1O
97,FC(F)OC(F)C(F)(F)F
98,CCC1(C)CC(=O)NC1=O
99,CNC(C)(C)Cc1ccccc1
100,[Ca+2].[N-]=C=[N-]
101,[Ca+2].[Cl-].[Cl-]
102,CCCCCCc1ccc(O)cc1O
103,CCc1cc(C(N)=S)ccn1
104,C[C@H](N)Cc1ccccc1
105,C1N2CN3CN1CN(C2)C3
106,[Mg+2].[OH-].[OH-]
107,COC(=O)/C=C/C(=O)OC
108,O=P([O-])(O)O.[Na+]
109,NC(N)=NCc1cccc(I)c1
110,NC(N)=NCCN1CCCCCCC1
111,CCOC(=O)c1ccc(N)cc1
112,c1ccc(CC2=NCCN2)cc1
113,Cc1ccc(C(C)C)c(O)c1
114,CCCc1cc(C(=N)S)ccn1
115,O=C(O)CCCCCCCC(=O)O
116,FC(F)OC(F)(F)C(F)Cl
117,O=C([O-])CCCO.[Na+]
118,Cc1cccc(C)c1OCC(C)N
119,FC(F)OC(Cl)C(F)(F)F
120,NCC1(CC(=O)O)CCCCC1
121,CN1C(=O)OC(C)(C)C1=O
122,OCC(O)COc1ccc(Cl)cc1
123,CN1CCC[C@H]1c1cccnc1
124,Nc1ccc(C(=O)O)c(O)c1
125,N=C(N)N1CCc2ccccc2C1
126,Nc1ccc(O)c(C(=O)O)c1
127,C/N=C(\NC)NCc1ccccc1
128,O=C([O-])[O-].[Ca+2]
129,O=C([O-])[O-].[Mg+2]
130,O=NN(CCCl)C(=O)NCCCl
131,CC(=O)OCC[N+](C)(C)C
132,CCOC(=O)n1ccn(C)c1=S
133,CN[C@@H](C)Cc1ccccc1
134,CC(C)OP(=O)(F)OC(C)C
135,O=c1cc(O)c(Cl)c[nH]1
136,C[N+](C)(C)CCOC(N)=O
137,CC(C)c1cccc(C(C)C)c1O
138,CCCCCCOC(=O)CCC(=O)CN
139,O=C(c1ccccc1)c1ccccc1
140,O=P1(NCCCl)OCCCN1CCCl
141,CCOc1ccccc1OCC1CNCCO1
142,Nc1ccc(S(N)(=O)=O)cc1
143,CCCCCCCCCCCCCCCC(=O)O
144,CCC1(C)OC(=O)N(C)C1=O
